Date,Narration,Ref/Cheque No.,Debit,Credit,Balance
10/7/2025,TO TRANSFER UPI/DR/IMPS TO AMIT GUPTA,IMPS-77346655,900,,"88,615.00"
10/7/2025,TO TRANSFER UPI/DR/RENT PAYMENT TO MR. VERMA,IMPS-66439812,"18,000.00",,"70,615.00"
10/8/2025,TO TRANSFER UPI/DR/OLA CAB RIDE,UPI-88223467780,230,,"70,385.00"
10/8/2025,TO TRANSFER UPI/DR/FLIGHT BOOKING INDIGO,UPI-22788966345,"7,200.00",,"63,185.00"
10/9/2025,BY TRANSFER REFUND AMAZON ELECTRONICS,REF-77890123,,"2,499.00","65,684.00"
10/9/2025,TO TRANSFER UPI/DR/ZEE5 SUBSCRIPTION,UPI-88112345609,699,,"64,985.00"
10/10/2025,TO TRANSFER UPI/DR/KIRANA STORE AJMER,UPI-66788009921,580,,"64,405.00"
10/10/2025,TO TRANSFER UPI/DR/IMPS TO MUKESH KUMAR,IMPS-55671234,"1,500.00",,"62,905.00"
10/11/2025,TO TRANSFER UPI/DR/UBER TRIP PAYMENT,UPI-11223344567,240,,"62,665.00"
10/11/2025,TO TRANSFER UPI/DR/SWIGGY ORDER 445566@okaxis,UPI-44556677881,375,,"62,290.00"
10/12/2025,BY TRANSFER CASHBACK CREDIT AMAZON,REF-66007721,,350,"62,640.00"
10/12/2025,TO TRANSFER UPI/DR/IMPS TO ANKIT JAIN,IMPS-44556678,750,,"61,890.00"
10/13/2025,TO TRANSFER UPI/DR/HOTEL BOOKING – GOIBIBO,UPI-77889911234,"4,250.00",,"57,640.00"
10/13/2025,TO TRANSFER UPI/DR/ELECTRICITY BILL AJMER,UPI-99887766554,"1,950.00",,"55,690.00"
10/14/2025,TO TRANSFER UPI/DR/PHARMACY PURCHASE,UPI-55443322119,890,,"54,800.00"
10/14/2025,BY TRANSFER IMPS FROM RAVI KUMAR,IMPS-66778899,,"2,000.00","56,800.00"
10/15/2025,TO TRANSFER UPI/DR/ZOMATO ORDER 998877,UPI-99887744332,430,,"56,370.00"
10/15/2025,TO TRANSFER UPI/DR/RELIANCE MOBILE RECHARGE,UPI-55667788990,599,,"55,771.00"
10/16/2025,TO TRANSFER UPI/DR/BOOKMYSHOW MOVIE TICKETS,UPI-77334455661,780,,"54,991.00"
10/16/2025,TO TRANSFER UPI/DR/BIGBASKET ORDER 887766,UPI-88776655442,"1,050.00",,"53,941.00"
10/17/2025,TO TRANSFER UPI/DR/IMPS TO PRIYA MEHTA,IMPS-77233445,"1,200.00",,"52,741.00"
10/17/2025,BY TRANSFER REFUND FLIPKART RETURN,REF-11223344,,"1,599.00","54,340.00"
10/18/2025,TO TRANSFER UPI/DR/OLACABS PAYMENT,UPI-33445566778,210,,"54,130.00"
10/18/2025,TO TRANSFER UPI/DR/ZOMATO ORDER 443322,UPI-44332266770,380,,"53,750.00"
10/19/2025,TO TRANSFER UPI/DR/AMAZON GROCERY ORDER,UPI-99880011223,"1,320.00",,"52,430.00"
10/19/2025,BY TRANSFER INTEREST CREDIT,REF-44002211,,145,"52,575.00"
10/20/2025,TO TRANSFER UPI/DR/SUPERMART AJMER,REF-44002211,145,,"52,430.00"
10/20/2025,TO TRANSFER UPI/DR/BOOKS STORE AJMER,REF-44002211,300,,"52,275.00"
10/20/2025,TO TRANSFER UPI/DR/AIR INDIA LIMITED,REF-44002211,8000,,"44,575.00"
